series_rank,series_id,label,variant,source_log,segment_index,phase,split,eval_scope,metric,iteration,train_iters,consumed_samples,iter_ms,value
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,10,5000,10240,5983.6,9.503482
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,20,5000,20480,13416.7,8.04453
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,30,5000,30720,15540.8,7.37452
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,40,5000,40960,8323.9,7.097601
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,50,5000,51200,6401.3,6.784518
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,60,5000,61440,8806.4,6.522333
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,70,5000,71680,8539.1,6.288927
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,80,5000,81920,8448.8,6.162013
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,90,5000,92160,8141.6,6.000427
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,100,5000,102400,9632.5,5.897925
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,110,5000,112640,7574.7,5.954841
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,120,5000,122880,7616.7,5.757978
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,130,5000,133120,7634.5,5.616349
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,140,5000,143360,7341.3,5.479248
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,150,5000,153600,7368.4,5.35906
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,160,5000,163840,7350.9,5.260585
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,170,5000,174080,7103.0,5.1648
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,180,5000,184320,7257.6,5.071038
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,190,5000,194560,6991.4,4.996535
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,200,5000,204800,8982.5,4.931284
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,210,5000,215040,6760.9,5.121431
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,220,5000,225280,6975.9,4.928006
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,230,5000,235520,6891.4,4.836803
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,240,5000,245760,6716.4,4.759597
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,250,5000,256000,6927.6,4.689014
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,260,5000,266240,6582.6,4.677178
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,270,5000,276480,6796.7,4.615945
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,280,5000,286720,6643.6,4.566324
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,290,5000,296960,6551.3,4.545245
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,300,5000,307200,8514.3,4.48988
0,diloco_baseline,DiLoCo Full Sync,diloco_baseline_5000,/data/yzhu/megatron-lm-moe-exp/logs/moe1b_diloco_baseline_5000_seed42_20260320_223604.log,0,train,train,,loss,310,5000,317440,6350.0,4.57292
